hour_of_day,For_Hire,Green_Taxi,CitiBike,Yellow_Taxi
0,28742,833,1550,69670
1,20806,555,852,45974
2,16010,394,490,29884
3,14451,286,305,18575
4,20816,224,362,12146
5,27839,229,995,16264
6,43421,593,2750,38298
7,68021,1450,5370,70512
8,90705,2207,6917,101433
9,100216,2430,4482,116429
10,97700,2358,4227,129609
11,91865,2393,4796,141015
12,90296,2541,5355,154350
13,88742,2538,5494,163049
14,84649,3071,5651,171442
15,77066,3290,6108,172516
16,70930,3435,7516,175288
17,64485,3645,11049,187412
18,56630,3643,11137,194798
19,51529,3178,9127,171507
20,48231,2236,6990,153057
21,47604,2214,4938,157488
22,43998,1741,3654,137061
23,37987,1343,2328,101993
